"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"enfoque";18;10;133;12;279;995;613
"limitar";6;14;32;4;104;249;200
"evitar";1;16;25;9;77;228;170
"ambigüedad";0;0;0;0;7;20;14
"curricular";1;0;1;0;12;124;50
"project";1;0;10;0;9;45;23
"google";4;3;57;6;208;540;208
"dall";0;0;0;0;22;102;29
"openai";0;0;2;0;95;196;85
"descripción";4;0;3;4;113;370;155
"textual";0;0;0;6;28;94;29
"conversación";3;5;15;3;144;170;74
"g";2;8;19;5;91;376;181
"gpt";0;0;2;0;142;410;202
"generative";1;0;0;0;76;143;130
"pre";2;11;2;1;20;158;145
"trained";0;0;3;0;3;17;16
"transformer";0;0;0;0;11;32;11
"transformador";0;0;3;0;20;86;45
"generativo";0;0;0;0;10;20;10
"preentrenado";0;0;0;0;2;6;2
"precisamente";0;1;0;1;23;39;29
"nombrar";0;2;1;2;4;13;5
"popular";2;2;18;0;19;48;49
"nes";0;31;7;7;20;130;100
"optar";1;0;4;0;13;38;30
"consideración";2;5;9;9;73;203;98
"mencionar";5;8;22;2;79;252;127
"popularización";0;0;0;0;6;9;3
"creer";6;7;9;1;77;218;94
"constituir";1;2;16;3;36;115;78
"novedad";0;0;2;0;10;40;45
"creencia";3;0;5;1;14;60;24
"ausencia";0;4;3;2;15;37;33
"historia";5;2;10;5;160;292;157
"evolucionar";2;3;7;2;26;91;74
"gura";0;0;0;2;0;1;10
"búsquedas";1;2;2;2;41;33;31
"enero";0;3;10;2;13;37;48
"2004";0;0;2;1;20;23;53
"actualidad";4;14;10;7;75;120;52
"apreciar";1;2;0;0;15;58;15
"marzo";1;8;8;0;21;73;31
"2023";0;1;0;0;908;1882;1537
"fenómeno";1;0;2;2;30;103;78
"coincidir";0;0;2;0;30;63;38
"mediático";0;0;9;0;7;25;39
"figura";0;5;54;18;129;671;290
"1943";0;0;1;0;0;8;3
"publicar";1;11;30;6;97;235;110
"trabajo";36;64;115;28;771;1394;747
"allí";0;5;1;1;15;36;9
"neuronal";18;0;19;2;67;30;7
"servir";2;8;16;7;92;209;115
"inspiración";0;1;1;0;9;22;9
"neuronales";5;4;37;2;83;129;56
"mcculloch";0;0;2;0;2;8;2
"pitts";0;0;2;0;2;8;2
"1950";2;1;3;0;14;10;14
"alan";2;1;4;2;13;16;7
"turing";5;1;9;3;64;34;17
"habilitar";0;2;3;0;9;25;27
"expansión";0;4;6;0;8;46;24
"acceso";5;24;241;17;205;688;452
"volumen";1;11;2;7;32;98;57
"computing";1;3;3;0;17;32;49
"machinery";1;0;2;0;6;6;8
"intelligence";19;43;153;6;288;478;333
"prueba";5;17;32;9;149;301;208
"evaluar";5;3;35;12;225;565;384
"nombre";0;7;4;11;88;278;46
"aparición";3;1;2;3;26;66;44
"dartmouth";2;0;3;2;11;11;9
"college";0;2;4;3;25;28;54
"1956";1;0;5;1;10;13;3
"durante";5;16;22;6;207;438;273
"conference";2;5;16;0;34;58;84
"john";1;0;2;0;30;26;33
"mccarthy";3;0;4;0;15;9;22
"marvin";1;0;4;0;5;6;3
"minsky";3;0;5;0;5;9;4
"rochester";2;0;2;0;11;0;3
"claude";1;0;1;1;13;79;5
"shannon";2;0;2;1;4;11;2
"quien";3;7;25;3;128;201;218
"organizar";3;6;24;8;114;184;68
"título";0;6;4;2;36;109;31
"proposal";1;0;1;0;1;13;33
"summer";1;0;1;0;1;4;6
"on";8;20;106;9;186;459;592
"estudio";24;23;67;28;330;1394;759
"mes";2;1;6;1;46;89;68
"formulación";0;4;19;0;20;73;36
"proceder";0;3;2;2;12;33;29
"base";6;36;54;19;180;520;332
"aspecto";3;14;31;18;182;933;473
"cualquier";3;12;39;14;221;375;192
"principio";10;13;74;8;122;437;196
"precisión";3;3;18;5;63;285;105
"intentar";4;7;7;3;48;121;50
"lenguaje";12;13;48;32;272;774;214
"abstracciones";0;0;0;0;2;6;3
"concepto";9;5;19;22;255;563;349
"reservar";0;1;0;0;4;19;6
"mejorar";5;43;105;25;565;1267;514
"después";1;5;8;0;116;181;106
"confusión";0;0;1;0;4;20;27
"elección";1;1;13;4;34;65;39
"cuidado";0;1;4;0;19;53;30
"atribuir";0;0;1;1;11;20;20
"propiedad";0;6;18;6;34;107;52
"podar|poder";15;0;11;31;219;397;179
"fácilmente";4;0;11;3;20;61;32
"cuando";19;24;81;43;472;549;378
"algo";4;6;17;14;173;198;149
"desear";1;4;14;5;73;158;61
"1983";0;0;0;2;8;15;5
"disciplina";1;2;5;6;56;221;109
"época";1;0;2;0;32;31;23
"donde";17;30;29;20;228;795;535
"inicio";1;4;2;2;93;116;45
"inversión";1;55;19;1;44;109;48
"disminuir";1;8;5;1;15;36;37
"invierno";0;0;3;0;17;2;4
"russell";2;1;4;0;17;24;22
"norvig";2;1;3;0;7;11;9
"aumento";4;18;15;1;49;100;60
"fundamental";5;8;49;13;178;655;548
"cativos";0;0;0;0;1;14;20
"profundo";6;16;82;8;158;425;392
"deep";1;3;22;8;34;49;59
"concebir";0;0;0;2;15;30;31
"componente";3;2;11;1;46;142;91
"mío";0;7;5;4;151;303;109
"opinión";4;5;44;2;80;215;91
"opinar";0;0;1;1;19;10;7
"dirección";0;6;7;5;67;139;77
"tremendo";0;0;0;1;5;9;2
"operación";2;10;10;2;41;106;36
"requerir";20;29;40;20;262;621;439
"andar";0;0;1;0;7;9;12
"andamiaje";1;0;0;0;9;8;5
"matemático";4;2;3;9;99;172;141
"entonces";0;3;11;14;115;111;61
"soporte";1;2;7;7;43;115;41
"implementados";0;0;0;0;2;4;4
"realidad";8;5;23;13;157;402;291
"ambo";1;1;10;6;62;161;91
"imprescindible";0;4;0;0;10;48;32
"emergencia";0;0;2;0;16;27;19
"teórico";1;1;5;3;56;177;123
"2018";7;86;476;8;240;401;249
"diseñador";0;0;1;1;34;44;38
"software";6;7;44;7;99;200;159
"socio";0;7;8;0;11;48;29
"ibm";3;8;35;3;22;34;14
"día";9;7;25;7;173;255;293
"ingeniería";2;11;14;4;55;246;49
"citar";0;3;8;1;46;112;79
"saber";13;7;14;29;332;337;151
"representación";5;2;22;10;71;215;49
"multiplicación";0;0;0;1;9;4;2
"matriz";0;1;2;7;24;55;44
"transformación";2;14;13;0;64;359;310
"proveer";0;1;1;1;14;23;14
"atención";4;15;26;11;119;288;161
"nal";0;8;1;0;6;28;20
"provenir";1;4;4;3;12;55;13
"retropropagación";1;0;4;0;0;0;6
"algorítmicas";0;0;7;0;3;21;8
"tal";19;42;28;13;168;386;209
"ejecución";0;1;0;2;20;70;46
"ciente";0;2;0;0;4;10;13
"contar";2;19;11;10;77;201;144
"mil";6;7;16;5;45;51;28
"llevar";7;23;31;16;228;507;314
"adelante";2;5;11;1;38;84;17
"enorme";5;8;8;4;39;76;38
"grado";0;14;15;2;99;264;238
"alcanzar";3;8;39;4;72;190;135
"chips";5;3;0;0;1;6;2
"material";4;3;7;9;230;510;280
"venir";1;2;6;2;67;114;41
"grupo";8;20;114;113;424;688;469
"generación";7;13;23;1;114;642;341
"regla";4;7;31;5;129;110;58
"automáticamente";2;5;7;16;33;159;24
"deducción";0;0;0;1;1;4;6
"diversos";12;14;37;11;175;772;317
"compartir";2;9;49;12;196;358;225
"artefacto";0;0;4;0;12;19;11
"etapa";1;15;6;7;50;321;142
"involucrar";2;3;18;5;79;215;144
"palabra";12;2;31;47;195;461;110
"mientras";3;11;37;6;131;311;196
"you";0;0;18;0;22;51;213
"t";0;7;47;12;176;322;208
"be";0;2;21;0;66;187;302
"an";5;3;25;4;77;228;254
"ai";7;29;152;2;442;1110;949
"expert";0;0;4;1;6;7;7
"these";0;0;12;1;11;50;127
"have";0;0;9;0;11;45;147
"some";0;1;5;0;10;16;63
"engineering";3;4;5;1;22;39;70
"perfil";1;6;18;6;94;210;184
"x";1;0;9;3;457;146;101
"entrenamiento";7;7;17;10;112;242;99
"variar";1;1;5;1;36;123;50
"magnitud";0;2;1;0;2;16;8
"cierta|cierto";0;4;3;3;25;59;26
"probabilidad";3;1;6;1;69;105;52
"simplemente";2;1;5;2;41;86;86
"ofrecer";4;24;86;30;370;1248;529
"necesariamente";0;2;8;2;28;49;23
"supervisar";14;2;22;29;45;147;40
"esperar";3;19;14;6;138;341;90
"millón";11;66;36;9;103;105;34
"correo";0;3;11;2;55;208;26
"uno";7;23;32;15;245;447;255
"spam";0;0;2;1;3;14;7
"banco";0;16;4;0;28;88;23
"aparecer";1;4;7;10;63;118;63
"disponer";3;18;8;14;51;103;66
"combinar";3;3;9;4;53;145;71
"pequeño";5;23;32;15;166;286;245
"anterior";2;12;13;11;115;266;143
"refuerzo";5;1;9;1;18;51;11
"agente";7;7;20;48;149;142;67
"nada";1;12;12;7;78;88;101
"consistir";3;1;11;10;40;98;64
"operar";1;12;4;0;22;52;23
"entorno";16;12;45;15;218;817;470
"ya";31;50;75;33;479;850;572
"real";11;8;41;16;186;521;360
"simular";6;0;3;5;43;119;51
"entrada";5;5;16;5;42;167;65
"decisión";7;31;144;27;384;743;387
"efecto";2;18;36;18;90;247;125
"fracaso";0;2;2;0;6;16;11
"ajustar";4;6;17;0;67;239;129
"función";19;11;39;11;217;500;206
"último";9;30;30;13;190;516;315
"ende";0;0;0;0;4;30;18
"nodo";1;0;0;3;16;23;12
"capa";7;5;11;0;24;102;65
"cálculo";4;1;11;4;38;77;47
"recibir";2;8;26;8;188;254;139
"coe";0;0;13;0;0;9;5
"cientes";0;0;1;0;0;3;12
"salida";3;5;10;1;11;125;41
"dividir";0;2;7;9;45;75;35
"oculto";0;0;7;8;5;16;12
"propagar";2;0;0;0;0;2;7
"atravesar";0;0;0;0;16;24;16
"estimar";2;7;10;2;22;27;20
"valor";4;31;56;20;221;659;389
"interno";1;1;4;3;33;98;54
"originalmente";1;1;0;0;2;10;6
"inspirar";2;1;7;1;31;56;30
"neurona";7;1;16;1;39;72;9
"cerebro";1;2;11;0;59;67;14
"conexión";3;1;15;3;60;130;89
"conectar";2;7;23;3;66;98;104
"hacia";13;10;39;5;144;475;285
"atrás";1;6;4;0;23;26;15
"adecuar";3;13;18;6;89;228;138
"convolucionales";0;0;2;0;1;5;4
"recurrente";0;1;4;0;9;44;19
"rnn";0;0;0;0;0;1;9
"audio";0;0;8;2;12;102;47
"transformadoras";0;0;0;0;1;20;14
"transformers";0;0;0;0;1;4;12
"esquema";0;0;2;1;22;95;34
"experimento";2;1;1;1;30;54;22
"error";2;1;19;18;77;337;215
"deducir";0;0;0;0;2;11;4
"estadísticamente";0;0;1;0;2;9;8
"diseñar";5;13;52;17;248;795;347
"plantear";8;6;44;21;176;535;332
"satisfacer";1;3;6;0;32;75;32
"activo";3;18;24;5;151;349;298
"pasivo";0;1;2;0;13;17;28
"directo";2;6;12;2;24;148;108
"indirecto";1;3;9;0;1;11;14
"ningún";0;5;4;5;42;67;26
"suponer";7;18;10;11;82;141;84
"realizarse";0;0;2;0;5;18;11
"intervención";2;4;8;8;44;186;165
"diseño";7;7;37;10;302;1091;458
"nen";0;2;0;0;1;6;10
"básico";6;11;18;7;122;403;165
"interactúan";0;0;3;2;14;43;13
"hacerse";0;0;6;2;20;22;10
"interactuando";0;1;0;1;12;20;3
"interacción";3;8;35;16;209;633;323
"separación";0;0;1;0;1;2;8
"clase";9;2;21;18;261;790;370
"claro";14;9;37;13;138;486;211
"evalúan";0;0;1;3;10;10;7
"indirectamente";0;0;1;1;2;8;2
"independientemente";1;1;7;5;16;62;38
"participación";1;5;75;7;115;330;285
"contratar";0;1;4;0;11;11;11
"cuyo";3;9;16;3;38;101;66
"etiqueta";1;1;8;18;71;30;7
"correspondiente";2;1;3;7;15;66;28
"demandar";1;2;2;0;7;35;15
"hora";11;8;13;1;104;184;152
"reconocer";4;11;59;14;164;351;246
"oración";1;0;0;1;20;41;15
"pagar";0;0;4;0;22;23;25
"violento";0;2;5;0;7;3;12
"inadecuado";0;0;4;1;8;25;24
"audiencia";0;0;1;0;9;55;26
"decidir";0;3;20;7;100;105;69
"implementar";1;11;11;3;85;204;116
"detectar";2;14;29;21;73;227;132
"violencia";0;3;13;0;5;11;34
"incitación";0;0;4;0;4;1;1
"odiar";0;0;15;0;17;7;6
"abuso";2;0;15;0;6;9;12
"sexual";0;0;84;1;1;5;21
"salario";1;2;1;0;10;7;1
"neto";0;1;0;0;3;7;5
"dólar";2;1;25;0;15;12;7
"antigüedad";0;0;1;0;0;6;4
"lateral";0;0;0;0;2;6;5
"facebook";0;4;39;0;34;25;49
"foto";0;2;12;2;68;27;29
"etiquetadas";1;0;4;2;1;3;1
"principal";8;36;43;14;179;487;222
"solo";8;16;60;27;381;1006;795
"implementaron";0;0;0;0;2;8;4
"acción";1;17;52;28;162;530;188
"categorización";0;0;1;0;7;17;2
"generador";1;0;2;0;40;53;23
"crucial";1;4;5;1;98;410;325
"nivel";23;78;95;30;400;1452;767
"velocidad";2;10;3;6;61;77;42
"escala";4;6;17;2;73;197;91
"reciente|recién";0;0;2;1;6;9;3
"2005";0;1;15;0;22;62;58
"used";0;0;2;0;12;15;72
"less";0;0;2;0;4;4;8
"than";0;0;8;0;6;17;30
"per";1;13;4;5;17;123;76
"make";1;1;5;0;6;15;47
"time";0;0;7;1;19;41;80
"comenzar";7;9;18;6;96;212;131
"placa";0;0;0;0;2;0;12
"fundamentalmente";0;1;1;1;5;13;37
"adecuado";0;3;10;9;61;193;106
"arquitectura";5;0;7;0;25;110;35
"camente";0;2;0;0;1;11;6
"manejar";2;2;2;2;26;93;56
"paralelo";2;4;1;1;7;33;29
"videojuego";0;0;0;3;30;16;42
"3d";0;0;3;2;12;22;24
"iluminación";0;0;0;0;2;9;7
"sombra";0;0;2;0;3;13;7
"especial";5;17;21;13;63;212;102
"extremadamente";0;1;2;2;4;20;7
"deber|debido";9;13;36;2;79;166;100
"matemáticas";5;8;15;2;73;199;131
"pantalla";1;1;2;1;50;62;57
"escena";0;0;1;1;9;46;11
"rápido";7;14;19;1;155;296;114
"utilizarse";0;4;24;11;49;54;19
"2000";0;2;2;0;22;47;30
"experimentar";0;3;9;1;70;151;113
"introducir";0;3;19;4;75;158;105
"purpose";0;0;1;0;2;8;13
"computation";0;0;2;0;0;4;4
"graphics";0;0;0;0;5;0;5
"processing";0;0;7;4;5;26;30
"destacar";2;22;31;9;133;758;314
"posibilidad";17;8;37;7;166;517;319
"allá";3;1;11;3;118;226;176
"2009";5;1;14;5;34;79;76
"equipo";0;10;11;7;137;473;229
"andrew";1;0;1;0;4;7;2
"ng";2;0;6;0;4;24;9
"acelerar";1;12;7;0;41;146;44
"múltiple";1;7;140;2;80;292;137
"simultáneamente";1;3;4;0;10;16;12
"trabajar";6;32;61;9;253;510;210
"ideal";0;1;1;0;16;42;39
"biblioteca";0;1;4;1;29;67;106
"uni";0;5;3;1;3;24;29
"ed";0;3;3;1;36;115;73
"device";0;0;2;0;0;6;6
"architecture";0;0;1;0;7;5;4
"2007";1;2;6;0;30;54;54
"facilitar";2;23;51;17;148;745;335
"aprovechar";2;31;56;4;99;377;275
"rendimiento";1;5;15;17;78;316;176
"complejidad";1;3;21;1;59;165;88
"creciente";0;6;12;1;37;96;59
"impulsar";4;29;47;2;85;379;167
"adopción";0;87;23;5;40;393;121
"potente";2;1;2;2;13;49;22
"viable";0;0;2;0;12;16;8
"superar";3;11;19;1;90;164;87
"13";2;9;27;12;95;226;191
"declarar";1;0;2;1;7;41;33
"aproximadamente";2;5;2;0;16;42;18
"cero";0;1;1;1;14;27;13
"fabricación";0;2;1;0;11;16;8
"fase";1;4;4;4;97;158;129
"energía";0;1;6;1;29;64;28
"raro";0;0;1;4;13;13;7
"difícil";9;8;23;8;126;103;67
"esencial";4;5;29;0;106;546;269
"semiconductor";2;0;19;0;0;33;2
"electrónico";2;2;15;5;64;251;64
"avanzar";10;25;47;6;152;602;281
"desafío";15;30;58;5;453;1002;642
"sostenibilidad";0;0;7;1;15;89;23
"largo";1;8;53;9;143;380;178
"recurso";5;25;80;24;486;1090;681
"extracción";0;1;1;9;9;30;7
"concentración";0;1;5;0;7;28;12
"región";0;40;29;5;58;163;60
"mundo";19;43;99;16;435;688;453
"dependencia";0;3;0;4;18;71;67
"proveedor";3;2;12;18;8;68;11
"cadena";1;5;5;0;17;56;9
"suministro";0;2;3;2;6;16;1
"ambiental";1;1;0;0;24;81;37
"cativo";0;0;0;0;1;15;22
"causar";2;4;13;1;29;28;16
"contaminación";0;0;0;0;3;10;4
"agua";0;0;3;1;38;21;5
"suelo";0;0;1;0;14;13;1
"salud";1;9;23;5;53;129;102
"local";0;14;52;1;64;160;37
"reciclaje";0;3;1;0;7;4;5
"reutilización";0;0;3;4;1;5;6
"mitigar";0;7;15;1;10;79;32
"limitación";3;1;25;5;118;396;206
"adquisición";3;10;5;2;17;90;69
"fabricar";0;0;4;0;7;7;4
"considerarse";1;5;6;1;11;37;24
"adquirir";6;14;10;2;90;190;158
"15";3;15;29;2;127;211;246
"25";0;11;19;2;55;171;136
"250";0;2;0;0;3;9;8
"consumo";1;4;10;1;17;51;62
"energético";0;1;0;0;3;18;14
"utilización";0;4;27;6;61;150;105
"dimensionar";0;2;0;0;1;6;9
"meta";0;1;6;1;37;114;62
"tokens";1;0;0;4;0;1;6
"750";0;0;0;0;1;7;11
"equivaler";0;0;1;0;8;8;8
"000";0;29;33;4;69;130;67
"tardar";1;0;0;0;6;6;2
"21";1;8;127;2;48;188;132
"salvar";0;1;3;0;8;10;4
"distancia";0;2;5;33;62;82;88
"jugar";4;0;13;11;134;113;64
"esfuerzo";0;17;27;2;87;187;104
"comparable";0;2;1;0;8;9;4
"what";0;0;23;1;52;70;92
"effectively";0;0;0;0;2;6;25
"donar";0;0;0;0;3;7;5
"area";0;0;0;0;1;26;35
"domain";0;0;1;2;3;4;7
"that";3;1;35;1;61;215;440
"is";2;8;68;5;115;259;385
"algorithmic";0;1;13;0;2;6;7
"nature";0;0;12;0;17;26;41
"taken";0;0;2;0;1;2;10
"computational";1;2;4;0;5;13;10
"cost";0;0;2;0;0;4;12
"computers";0;1;0;2;21;55;42
"zero";0;0;1;0;3;4;3
"14";7;9;27;5;85;250;190
"are";1;3;50;0;54;157;254
"costs";0;0;0;0;1;2;7
"intensivo";0;1;1;1;2;37;7
"descanso";0;0;1;0;2;7;4
"large";0;1;0;1;20;39;50
"open";0;3;31;2;32;86;45
"science";4;15;38;3;66;119;111
"access";0;2;14;0;18;48;36
"multilingual";0;0;0;0;0;6;5
"bloom";0;0;2;0;7;9;13
"colega";0;0;11;0;22;52;22
"consumir";0;0;1;0;4;16;11
"433";1;0;1;0;1;2;12
"electricidad";0;0;1;0;16;14;3
"40";0;10;18;7;69;139;71
"familia";2;3;3;2;39;86;73
"estadounidense";0;2;5;0;16;18;15
"120";0;3;3;3;1;21;12
"tercero";1;5;14;4;52;147;98
"equivalente";0;1;0;1;10;14;10
"360";0;2;2;1;3;9;14
"100";2;15;11;5;60;85;76
"50";0;26;17;3;58;167;76
"continuar";1;11;10;1;69;113;57
"comparación";1;5;7;1;33;116;57
"alrededor";3;10;12;1;25;60;36
"pedido";0;0;0;0;6;2;2
"consumar|consumir";0;1;3;0;5;16;13
"semi";0;0;1;0;4;5;15
"analysis";0;2;10;12;26;75;85
"sugerir";9;6;14;3;76;340;152
"servidor";0;0;2;0;7;8;4
"total";1;24;5;5;41;166;146
"28";0;3;33;3;42;110;70
"implicar";6;10;37;4;168;535;365
"nuevamente";0;0;3;1;9;22;22
"gastar";0;0;0;0;6;2;6
"160";0;0;1;4;5;14;7
"comparar";0;4;6;3;60;119;48
"60";1;9;9;3;45;108;61
"reportar";0;0;0;0;10;48;70
"2019";9;48;533;8;296;500;386
"2021";0;3;48;26;373;706;446
"preocupar";0;0;2;1;32;39;17
"buscador";0;0;0;7;28;36;28
"ahmad";0;0;0;0;0;11;5
"the";0;4;48;2;76;80;33
"search";0;1;8;2;14;19;28
"language";0;3;8;9;36;242;174
"model";0;0;5;0;20;44;61
"solicitud";0;2;6;0;16;134;15
"motivo";0;2;10;4;31;52;47
"preguntar";6;0;1;3;120;128;81
"consulta";1;4;9;2;65;120;263
"optimista";0;0;1;0;5;17;4
"prometer";1;0;3;0;16;48;30
"respaldar";2;2;10;1;29;110;48
"descarte";1;0;0;0;5;4;1
"innovación";4;73;57;6;176;664;430
"sostenible";0;3;57;2;50;151;63
"asegurar";1;7;33;0;85;499;235
"equilibrado";0;0;1;0;3;16;22
"asignación";1;6;4;3;25;66;13
"intención";1;2;13;2;92;74;30
"detrás";0;3;4;2;47;57;25
"serie";0;7;36;9;117;215;150
"transformar";7;6;11;3;81;379;260
"elaborar";0;8;34;8;103;287;104
"paso";4;5;26;14;292;351;130
"evidenciar";1;6;19;3;53;284;190
"camino";1;8;4;9;76;176;88
"expresar";6;2;15;3;49;140;90
"exceder";0;0;1;0;2;8;3
"simbólico";0;0;15;1;15;18;13
"símbolo";1;0;3;2;16;13;7
"capturar";1;4;2;0;5;36;15
"lado";9;12;13;11;110;308;194
"replicar";2;1;4;4;11;26;35
"poseer";3;4;2;2;37;71;46
"entendimiento";0;0;4;1;11;79;18
"continuación";1;12;11;18;46;226;92
"celular";1;1;1;1;77;15;100
"ingresar";0;2;4;0;44;72;11
"querer";1;3;25;13;208;330;125
"complejidades";0;0;1;2;1;18;10
"aparte";0;0;1;0;5;11;5
"diferencia";5;3;28;7;133;274;129
"candidato";0;2;4;2;13;12;18
"aleatorio";0;0;2;0;6;14;3
"habilitan";0;0;0;0;0;7;5
"selección";0;3;9;1;34;146;129
"alternativa";2;1;4;0;34;128;58
"razón";5;1;17;5;74;111;66
"tabla";4;0;12;11;179;460;249
"letra";0;0;1;1;10;36;22
"canción";0;0;0;0;20;34;15
"sintaxis";0;0;0;0;3;12;2
"vista";8;6;22;0;94;172;100
"castellano";0;0;0;21;1;23;11
"bots";0;1;10;0;46;19;8
"mecanismo";0;5;28;11;31;114;71
"árbol";0;0;3;1;33;26;6
"17";2;10;45;0;86;204;204
"completo";0;6;9;3;81;228;70
"registrar";0;8;7;2;29;56;66
"julio";0;7;1;2;16;86;34
"05";1;3;14;0;16;59;45
"00";0;0;0;0;9;453;79
"versión";0;4;2;3;54;208;97
"curso";4;13;35;5;215;581;409
"formación";11;16;25;26;271;1054;750
"explorar";2;6;18;3;136;401;215
"sesgos";0;10;42;21;113;334;171
"estereotipos";0;2;18;2;16;27;15
"aula";11;8;19;4;350;809;543
"supuesto";5;1;10;6;44;68;41
"consciente";1;3;9;16;41;153;122
"estructura";6;5;9;7;81;292;143
"apariencia";0;1;0;0;6;17;7
"construcción";3;9;13;7;101;247;130
"solamente";1;2;6;2;17;46;26
"veracidad";0;0;2;0;6;38;22
"18";2;11;107;5;54;182;130
"modo";3;9;41;13;113;275;172
"dar|decir";0;7;2;1;13;100;96
"explicable";1;0;0;0;0;12;7
"aquí";5;2;9;2;102;196;97
"explicabilidad";0;2;3;2;6;31;20
"comunicar";2;1;4;3;29;111;35
"dialogar";0;0;2;0;10;27;20
"medicina";0;0;2;1;18;51;26
"economía";9;48;16;2;55;117;62
"derecho";0;11;360;17;101;462;150
"biología";0;1;4;1;7;33;20
"físico";3;5;18;8;58;182;80
"etcétera";0;0;0;0;18;13;14
"sección";0;4;22;2;58;220;75
"cuanto";4;15;13;5;95;236;169
"problemático";2;1;8;1;11;88;84
"tamaño";1;10;3;4;18;61;24
"preocupante";0;1;4;0;8;15;15
"transparencia";0;7;56;6;54;248;100
"derivar";0;12;6;0;19;97;54
"responsabilidad";2;15;28;5;72;378;187
"decirse";0;0;4;0;3;2;3
"pues";0;12;4;2;47;105;111
"cados";0;0;0;0;3;5;2
"validación";0;0;2;0;15;80;38
"situación";5;20;12;4;196;371;252
"metáfora";0;0;1;0;4;16;3
"acerca";0;8;13;3;79;153;52
"engañoso";0;0;1;0;4;13;6
"19";0;7;51;3;108;256;159
"afirmar";2;3;20;1;36;83;134
"crear|creer";1;7;11;1;99;205;68
"fortaleza";0;4;1;0;26;99;43
"ustedes";0;0;0;2;7;5;2
"izquierda";0;0;0;0;18;24;5
"aun";3;6;1;1;22;31;30
"preparar";6;15;23;3;99;318;271
"aproximación";0;0;1;6;9;67;48
"formular";2;4;63;8;45;118;58
"transparente";0;2;14;0;23;94;35
"perro";2;0;1;0;16;62;3
"evidente";6;1;7;1;25;82;41
"rechazo";0;0;1;0;5;11;14
"laboral";12;40;26;1;118;372;137
"confundir";0;0;1;0;11;9;10
"raíz";0;1;2;1;12;25;23
"colección";1;0;6;11;23;52;13
"quizá";0;0;1;3;19;14;7
"comodidad";0;0;0;0;0;8;3
"zación";0;3;2;0;0;16;15
"incorrectamente";0;0;0;0;0;0;13
"cometer";0;0;2;2;7;34;21
"totalmente";1;1;5;3;20;60;43
"valer";0;0;3;0;16;35;22
"pena";0;0;2;0;6;14;13
"recuperar";5;1;96;0;51;91;68
"terminología";0;0;1;6;1;12;3
"asumir";5;1;6;4;52;144;92
"resaltar";0;2;6;0;29;134;52
"exento";0;0;2;0;5;20;13
"fallar";0;1;4;0;13;11;10
"inevitable";0;0;10;1;16;26;11
"central";5;7;13;0;42;111;82
"dudar";0;0;0;0;6;2;4
"caber";1;16;10;0;24;95;93
"medir";2;1;13;16;38;97;71
"lejos";1;1;10;2;35;36;45
"establecer";5;28;56;9;176;520;333
"considerado";1;1;0;2;6;16;20
"interrogante";0;0;2;1;15;44;28
"juego";10;10;13;5;176;232;138
"validez";0;0;2;0;18;34;39
"observación";0;1;8;9;24;64;52
"variedad";1;3;5;3;63;147;44
"evaluación";7;8;88;44;470;1448;830
"tampoco";2;2;7;1;37;38;31
"imaginar";3;0;2;10;47;110;20
"aceptable";0;0;2;0;10;14;12
"excepto";1;1;2;0;3;18;4
"omitir";0;0;0;0;3;5;3
"diagnóstico";8;4;9;4;35;69;53
"dimensión";3;2;28;23;130;368;123
"importar";1;6;2;1;13;36;14
"diagnosticar";2;1;4;1;6;17;3
"profesional";6;49;33;13;209;828;470
"tasa";0;21;21;1;35;41;41
"invitar";0;0;2;2;45;96;57
"repensar";2;0;1;0;19;40;87
"rol";3;2;16;0;150;396;263
"ejecutar";0;1;3;4;31;70;21
"cuestionar";0;0;10;1;42;105;109
"continuidad";0;0;1;0;3;31;17
"dictar";0;0;3;1;3;15;9
"contradictorio";1;0;0;0;5;8;10
"falso";0;2;25;1;42;112;95
"erróneo";0;1;8;2;25;32;20
"alucinación";0;0;0;0;1;54;17
"algoritmo";7;44;185;57;329;760;307
"in";0;52;43;2;59;234;272
"teclado";0;0;1;2;7;5;2
"recomendar";0;3;7;3;75;137;78
"acuerdo";0;15;10;8;76;252;142
"dejar";6;5;10;6;118;205;110
"infantil";0;0;2;0;2;47;20
"país";13;176;134;4;274;381;124
"bajo";6;25;42;4;115;295;231
"alertar";0;1;1;0;14;40;19
"prohibir";0;0;5;0;19;68;25
"internacional";0;19;99;5;104;322;115
"predictive";0;0;1;0;5;7;7
"algorithms";0;0;18;0;10;16;18
"they";0;0;2;0;15;62;137
"need";0;0;7;0;21;31;66
"technology";3;11;59;2;146;299;234
"review";0;7;28;0;90;164;148
"definición";6;3;20;8;69;227;107
"webster";0;0;1;0;1;3;6
"22";4;3;44;7;35;180;102
"calcular";0;0;4;10;21;34;22
"numérico";0;0;2;1;11;23;22
"mayoritario";0;0;3;0;6;21;6
"correlaciones";0;0;3;1;2;13;18
"historial";1;1;5;0;8;27;4
"contratación";0;2;8;0;17;14;11
"correlación";0;0;1;0;3;23;15
"género";0;6;227;9;113;135;170
"cargo";0;4;61;2;18;54;12
"masculino";0;2;11;0;10;13;34
"desigualdad";0;13;26;2;92;131;77
"pertenecer";2;0;6;5;30;48;33
"varón";0;0;0;0;2;4;46
