"";"*YEAR2019";"*YEAR2020";"*YEAR2021";"*YEAR2022";"*YEAR2023";"*YEAR2024";"*YEAR2025"
"automático";21;29;112;43;317;458;156
"machine";4;6;36;2;126;361;106
"learning";10;33;73;6;325;730;638
"ml";0;0;1;0;9;23;9
"representar";6;16;27;14;141;309;183
"literatura";2;5;7;6;42;169;136
"casi";4;14;12;4;77;104;144
"rasgo";0;0;1;0;8;33;14
"etc";0;5;22;4;99;268;86
"muy";33;27;27;39;274;526;306
"pocos";3;6;21;0;69;84;48
"excepción";0;1;1;0;11;23;20
"famoso";0;1;0;1;28;16;8
"hal";2;0;0;2;1;0;8
"película";0;0;3;1;23;36;44
"2001";0;2;6;1;23;33;41
"odisea";0;0;0;0;7;2;8
"espacial";0;0;0;1;15;25;9
"dirigir";1;10;19;8;57;153;63
"1968";0;0;0;0;9;4;5
"escribir";6;3;12;14;299;435;113
"arthur";1;0;0;0;2;1;9
"c";3;18;63;23;307;1026;426
"clarke";1;0;0;0;2;6;9
"novelar";0;0;0;31;21;18;6
"previo";0;1;6;4;101;192;116
"aunque";13;16;59;11;197;545;246
"voz";2;10;47;12;114;276;64
"cuerpo";0;0;2;1;25;58;25
"nave";0;0;0;0;9;3;4
"conocer";12;15;21;25;193;437;265
"cuento";0;0;0;1;30;36;11
"ciclo";2;3;2;2;55;142;59
"cultura";3;6;18;3;64;246;228
"m";5;52;89;11;274;1310;804
"ir";8;35;38;32;388;669;362
"avatar";0;0;3;0;4;17;22
"interfaz";7;1;7;6;26;160;23
"distintivo";0;0;0;0;2;11;6
"además";4;24;73;16;379;863;601
"ciudadano";1;31;16;2;38;126;69
"pesar";4;5;23;2;77;197;87
"biológico";2;0;7;2;16;33;5
"generativas";1;0;3;0;42;99;14
"captar";1;0;8;1;12;25;23
"interés";8;12;57;7;124;431;214
"población";1;29;18;4;29;151;107
"música";3;1;3;1;23;72;99
"video";0;3;35;0;123;302;146
"demanda";11;32;14;0;40;154;86
"mediar";4;1;2;2;28;60;61
"crear";20;47;104;13;571;1250;528
"retrato";0;0;0;0;12;12;5
"fotografía";0;3;11;0;17;43;18
"lugar";10;26;74;25;264;473;377
"vídeo";2;0;0;2;33;183;127
"manipulación";1;3;9;0;7;50;16
"orientar";11;10;33;19;63;234;112
"estadística";3;1;6;3;13;37;28
"demostrar";3;7;26;2;101;273;144
"pieza";0;3;2;1;5;33;24
"imitar";0;3;6;5;36;26;19
"estilo";5;2;5;2;89;342;112
"artista";0;0;0;0;29;29;7
"normalmente";1;2;5;3;19;24;10
"abordadas";0;0;0;1;3;6;8
"automatización";23;13;15;2;88;165;96
"lógico";0;4;4;4;28;71;37
"través";10;29;64;21;320;789;456
"aprovechamiento";0;2;9;1;7;36;27
"organización";2;17;78;9;134;573;131
"sugerencia";0;0;5;1;83;182;40
"calidad";3;22;38;8;232;688;409
"opción";1;3;89;10;117;243;133
"tender";1;4;7;1;30;41;65
"reforzar";0;6;27;2;33;105;111
"hecho";7;13;60;4;160;282;166
"así";14;55;115;41;371;1071;670
"denominación";0;0;0;0;3;24;6
"observar";2;5;6;10;86;249;202
"siempre";4;3;15;10;207;258;206
"fácil";6;1;18;5;76;114;39
"trasladar";1;2;1;1;10;16;11
"dependiente";1;0;1;0;6;18;27
"disponible";8;16;33;7;136;276;341
"cidad";0;3;0;0;1;19;9
"tratar";4;21;22;26;167;345;266
"razonamiento";2;2;8;6;120;93;46
"investigador";7;17;58;17;136;395;131
"nosotros";14;11;21;60;622;1177;813
"manifestar";0;1;1;1;14;61;53
"comunidad";1;8;78;10;144;406;206
"referir";3;5;16;8;72;187;108
"automatizar";6;13;68;5;64;243;121
"self";0;0;2;1;28;139;48
"generativos";0;0;0;0;3;60;18
"soler";6;2;25;7;58;128;86
"hallar";0;0;0;0;13;24;15
"único";3;8;14;2;79;220;132
"igual";0;5;19;4;90;159;90
"convivir";1;0;2;0;11;12;13
"diferente";11;23;66;36;357;884;473
"especialización";0;4;3;0;3;28;18
"experto";12;6;32;18;113;317;122
"constante";7;5;4;6;66;255;242
"evolución";1;4;26;5;65;326;143
"cambiar";8;8;16;10;187;233;502
"medida";8;35;47;30;203;378;270
