"";"X.YEAR2018";"X.YEAR2019";"X.YEAR2020";"X.YEAR2021";"X.YEAR2022";"X.YEAR2023";"X.YEAR2024";"X.YEAR2025"
"resultado";0,75;1,14;0,43;0,7;1,69;0,92;1,25;1,29
"justo";0,09;0,06;0,11;0,04;0,27;0,12;0,13;0,06
"20";0,24;0,18;0,47;0,3;0,18;0,33;0,24;0,24
"8";0,19;0,3;0,32;0,26;0,27;0,49;0,51;0,49
"afectar";0,24;0;0,15;0,33;0,3;0,25;0,23;0,2
"diversidad";0,04;0;0,02;0,33;0,15;0,15;0,24;0,16
"cultural";0,08;0,36;0,11;0,25;0,12;0,24;0,26;0,31
"capacidad";1,26;2,39;1,29;1,12;1,33;1,1;1,18;1,13
"computadora";0,15;0,24;0,17;0,29;1,06;0,38;0,21;0,11
"generar";0,29;2,09;0,69;0,49;0,81;1,37;1,63;1,44
"contenido";0,13;0,3;0,04;0,65;0,48;0,51;1,07;0,81
"digital";0,51;1,31;1,59;1,4;3,53;1,23;2,17;2,1
"24";0,06;0,12;0,04;0,13;0,09;0,15;0,13;0,18
"recomendable";0;0;0,02;0;0,03;0,02;0,01;0,03
"usar";1,76;1,37;0,11;0,5;0,78;1,18;0,73;0,63
"generativa";0;0;0;0,02;0;0,5;0,89;0,94
"programar";0,05;0,18;0,02;0,07;0,12;0,1;0,06;0,06
"30";0,25;0,06;0,3;0,19;0,09;0,17;0,16;0,17
"deber";2,03;1,91;2,22;1,47;1,36;2,1;1,89;2,3
"hacer";3,56;3,71;0,8;1,08;1,93;2,32;1,44;1,01
"escuela";0,21;0,18;0,82;0,33;1,45;0,58;0,35;0,61
"ante";0,1;0;0,19;0,1;0,21;0,16;0,21;0,24
"32";0,05;0,06;0,11;0,08;0,09;0,07;0,06;0,12
"conclusión";0,18;0,12;0,04;0,15;0,21;0,22;0,21;0,24
"36";0,09;0;0,09;0,05;0,03;0,06;0,06;0,1
"bibliografía";0,01;0;0;0,02;0,03;0,03;0,04;0,03
"37";0,06;0;0,02;0,08;0,03;0,06;0,08;0,1
"formar";0,16;0,24;0,28;0,11;0,18;0,2;0,17;0,29
"parte";1,23;0,78;1,7;1,22;0,72;0,82;0,91;0,94
"todo";3,24;1,97;1,98;2,13;2,47;2,3;1,74;1,6
"grande";2,8;2,75;2,9;1,29;1,78;1,63;1,44;1,21
"ejemplo";1,91;2,33;1,48;2,02;2,26;1,72;1,56;0,94
"estar";4,9;2,81;2,62;2,5;3,2;3,04;2,18;1,95
"presente";0,08;0,42;0,11;0,12;0,24;0,22;0,21;0,26
"funcionamiento";0,07;0,12;0,06;0,07;0,24;0,12;0,14;0,15
"él";3,49;1,73;1,85;1,05;2,2;2,57;2,12;2,08
"creativo";0,16;0,18;0,02;0,05;0,06;0,35;0,28;0,3
"imagen";0,28;1,08;0,26;0,59;0,78;0,69;0,9;0,49
"red";1,93;1,97;0,45;0,99;0,45;0,75;0,55;0,97
"social";1,28;1,55;1,46;1,12;1;0,93;1,21;1,65
"plataforma";0,13;0,24;0,82;0,63;0,09;0,49;0,6;0,67
"transmisión";0,04;0;0;0,03;0;0,02;0,03;0,06
"contener";0,28;0,42;0,13;0,58;0,63;0,55;0,57;0,91
"modelo";0,83;3,11;0,49;0,57;1,06;0,95;1,65;1,13
"análisis";0,8;0,48;0,8;0,54;1,54;0,72;1,14;1,06
"riesgo";0,38;0,3;1,16;0,65;0,6;0,45;0,6;0,8
"bancario";0,01;0;0;0,03;0;0,02;0,01;0,01
"utilizar";1,17;2,69;0,82;1,78;3,59;2,36;2,06;1,76
"otorgar";0,02;0,18;0,15;0;0;0,03;0,04;0,04
"rechazar";0,03;0;0,02;0,03;0;0,03;0,02;0,02
"crédito";0,1;0;0,02;0,07;0;0,04;0,03;0,03
"aquel";0,3;0,24;0,34;0,12;0,18;0,38;0,25;0,28
"reconocimiento";0,13;0,42;0,34;0,52;0,36;0,26;0,2;0,1
"facial";0,02;0,06;0,11;0,32;0,03;0,08;0,04;0,03
"estado";0,67;0,54;1,05;0,71;0,24;0,34;0,38;0,19
"control";0,48;0;0,13;0,09;0,09;0,18;0,17;0,15
"circulación";0,01;0;0;0,02;0;0,01;0,01;0,01
"frontera";0,05;0,06;0,02;0,05;0,09;0,05;0,05;0,03
"prevención";0,02;0;0;0,02;0,03;0,03;0,02;0,05
"delito";0,03;0;0;0,03;0;0;0;0
"también";2,3;3,65;1,7;1,83;1,78;1,74;1,67;1,72
"incorporar";0,07;0,06;0,19;0,1;0,27;0,25;0,29;0,26
"producto";0,29;0,36;0,49;0,22;0,21;0,18;0,25;0,21
"aumentar";0,7;0,48;1,03;0,4;0,51;0,31;0,23;0,23
"rápidamente";0,26;0,3;0,04;0,08;0,06;0,15;0,09;0,06
"difusión";0,02;0;0,19;0,18;0;0,08;0,06;0,09
"sencillo";0,23;0,18;0;0,07;0,21;0,1;0,1;0,05
"comprender";0,7;0,66;0,19;0,25;0,72;0,47;0,53;0,55
"respecto";0,2;0,18;0,32;0,49;0,15;0,21;0,24;0,31
"consecuencia";0,18;0,12;0,13;0,34;0,21;0,16;0,16;0,19
"haber";7,52;6,1;4,63;3,45;3,65;4,41;3,71;3,5
"impactado";0,01;0;0;0,01;0;0;0,01;0,01
"signi";0;0;0;0;0;0;0,01;0,05
"cativa";0;0;0;0;0;0;0,01;0,03
"cierto";0,32;0,12;0,49;0,28;0,39;0,29;0,22;0,25
"área";0,23;0,6;0,65;0,37;0,54;0,48;0,64;0,49
"incluso";0,51;0,96;0,28;0,44;0,48;0,37;0,29;0,24
"puntual";0,01;0,18;0;0,01;0,03;0,02;0,02;0,03
"sector";0,26;0,24;1,74;1,05;0,24;0,38;0,33;0,28
"lograr";0,32;0,3;0,47;0,3;0,27;0,27;0,25;0,25
"bueno";1,75;1,26;0,86;0,6;1,15;1,13;0,85;0,72
"computación";0,27;0,42;0,19;0,26;0,18;0,05;0,09;0,08
"como";5,01;8,91;4,75;5,18;6,21;5,47;5,94;5,93
"programación";0,04;0,66;0,09;0,13;0,06;0,24;0,24;0,14
"tradicional";0,15;0,6;0,22;0,08;0,09;0,2;0,23;0,38
"avance";0,23;0,18;0,62;0,25;0,27;0,31;0,35;0,35
"dentro";0,52;0,78;0,3;0,2;0,12;0,35;0,31;0,29
"visión";0,2;0,54;0,49;0,34;0,18;0,35;0,32;0,29
"especialmente";0,1;0;0,17;0,31;0,36;0,16;0,3;0,25
"identi";0;0;0;0;0;0;0;0,02
"car";0;0;0,04;0;0;0,08;0,02;0,03
"clasi";0;0;0,02;0;0;0,01;0;0,01
"elemento";1,37;0,72;0,3;0,27;0,36;0,25;0,42;0,35
"cos";0,01;0;0,11;0,01;0,03;0;0,02;0,05
"rostro";0,02;0,12;0;0,1;0,06;0,02;0,02;0,01
"objeto";0,15;0,24;0,04;0,2;0,72;0,24;0,14;0,13
"predicción";0,3;0,48;0,04;0,23;0,45;0,1;0,09;0,09
"posible";0,58;1,37;0,62;0,65;1,06;0,74;0,61;0,48
"enfermedad";0,26;0;0;0,03;0;0,04;0,02;0,1
"futuro";0,8;2,99;0,65;0,35;0,54;1,29;0,77;0,71
"basarse";0,1;0;0;0,1;0,09;0,03;0,08;0,05
"médico";0,24;0,12;0,11;0,16;0;0,08;0,08;0,07
"incluir";0,53;0,18;1,12;1,35;0,9;0,95;1;0,69
"ese";2,41;1,08;0,34;0,71;2,23;1,34;0,82;0,72
"lista";0,07;0,12;0;0,09;0,3;0,19;0,17;0,05
"traducción";0,04;0,42;0,02;0,29;0,21;0,07;0,12;0,05
"texto";0,2;0,6;0,09;0,24;1,06;1,22;1,1;0,55
"hablar";0,67;0,66;0,13;0,2;0,69;0,45;0,21;0,11
"humano";2,75;3,17;0,69;3,47;2,11;1,8;1,54;0,97
"punto";0,6;1,08;0,45;0,4;0,87;0,43;0,48;0,5
"interesante";0,16;0,12;0,04;0,03;0,21;0,1;0,12;0,09
"reciente";0,16;0,72;0,13;0,16;0;0,12;0,11;0,13
"tener";4,46;3,83;2,28;2,4;3,32;3,38;2,39;2,09
"70";0,07;0;0,15;0,14;0;0,05;0,06;0,07
"año";1,54;0,78;1,38;0,41;0,54;0,72;0,56;0,83
"embargo";1,05;1,43;0,73;0,9;0,6;0,53;0,46;0,51
"combinación";0,45;0,12;0,13;0,06;0,03;0,06;0,06;0,06
"tres";0,36;0,24;0,37;0,24;0,12;0,34;0,33;0,25
